diagnosis,admissions_count,los,los_avg
PANCREATIC CANCER;FEBRILE NEUTROPENIA,2.0,6.0,6.0
PANCREATIC CANCER;GASTRIC OUTLET OBSTRUCTION,1.0,30.0,30.0
PANCREATIC CANCER;RAPID ATRIA; FIBRILLATION,1.0,11.0,11.0
PANCREATIC CANCER;RESPIRATORY FAILURE\WHIPPLE PROCEDURE,2.0,9.0,10.0
PANCREATIC CANCER\CHEMO EMBOLIZATION LIVER/SDA,1.0,24.0,24.0
PANCREATIC CA\ASSESS BILIARY STRICTURES **REMOTE WEST**,5.0,6.0,7.0
PANCREATIC COLONIC FISTULA,4.0,23.0,23.5
PANCREATIC CYST,1.0,14.5,14.5
PANCREATIC CYST PLANNED WHIPPLE PROCEDURE,1.0,7.0,7.0
PANCREATIC CYST/SDA,1.75,15.25,14.166666666666668
PANCREATIC CYST\ERCP ,1.0,2.0,2.0
PANCREATIC CYST\EUS,1.0,1.0,1.0
PANCREATIC DUCT CANCER/SDA,1.0,10.0,10.0
PANCREATIC DUODENAL ANEURYSM,1.0,3.0,3.0
PANCREATIC FAILURE,2.3333333333333335,7.333333333333333,7.733333333333333
PANCREATIC FISTULA,1.0,65.0,65.0
PANCREATIC FISTULA;ABDOMINAL PAIN,5.0,17.0,28.4
PANCREATIC HEAD CANCER,1.0,6.0,6.0
PANCREATIC MASS,1.3636363636363635,15.636363636363637,14.303030303030301
PANCREATIC MASS /SDA,1.0,8.0,8.0
PANCREATIC MASS/SDA,1.4,14.955555555555556,14.238888888888889
PANCREATIC MASS;CHOLECYSTITIS,1.0,6.0,6.0
PANCREATIC MASS\EUS,9.0,8.0,10.0
PANCREATIC NECROSIS,2.5,48.0,27.333333333333336
PANCREATIC PSEDUDAL,1.0,34.0,34.0
PANCREATIC PSEUDOCYST,2.125,46.75,26.46875
PANCREATIC PSEUDOCYST/SDA,2.0,8.0,14.5
PANCREATIC PSUEDO CYST,1.0,6.0,6.0
PANCREATIC TAIL MASS,1.0,56.0,56.0
PANCREATIC TAIL MASS/SDA,3.0,10.0,8.0
PANCREATIC TRANSPLANT,1.0,7.0,7.0
PANCREATIC TUMOR,1.0,16.0,16.0
"PANCREATIC TUMOR, ? LIVER METS/SDA",1.0,8.0,8.0
PANCREATIC TUMOR/SDA,2.0,12.333333333333334,13.5
PANCREATITIS,1.872,16.552,15.11794165619327
PANCREATITIS & BILIARY STRICTURE/SDA,3.0,6.0,9.0
"PANCREATITIS, BLEED",2.0,8.0,8.0
"PANCREATITIS, ETOH WITHDRAWAL",1.0,16.0,16.0
"PANCREATITIS, HIV",1.0,51.0,51.0
"PANCREATITIS,DIABETIC KETO ACIDOSIS",1.0,9.0,9.0
"PANCREATITIS,GALL STONES",1.0,40.0,40.0
PANCREATITIS-ARDS,1.0,26.0,26.0
PANCREATITIS-DIABETIC KETOACIDOSIS,4.0,4.0,2.75
PANCREATITIS-GALL STONES,1.0,30.0,30.0
PANCREATITIS-GALLSTONES,2.0,21.0,18.5
PANCREATITIS/SDA,3.5,11.5,9.791666666666668
PANCREATITIS; SPLENOMEGALY,1.0,43.0,43.0
PANCREATITIS;ABDOMINAL PAIN,1.0,9.0,9.0
PANCREATITIS;ACUTE RENAL FAILURE,1.3333333333333333,17.333333333333332,12.333333333333334
PANCREATITIS;ACUTE RENAL FAILURE;DIABETIC KETO ACIDOSIS,1.0,3.0,3.0
PANCREATITIS;ALCOHOL,3.0,2.0,3.0
PANCREATITIS;ATRIAL FIBRILLATION;TELEMETRY,2.0,9.0,6.5
PANCREATITIS;CHOLANGITIS,1.0,12.0,12.0
PANCREATITIS;CHRONIC OBST PULM DISEASE,1.0,18.0,18.0
PANCREATITIS;CONGESTIVE HEART FAILURE;A FIB RVR,1.0,4.0,4.0
PANCREATITIS;CONGESTIVE HEART FAILURE;PNEUMONIA;PULMONARY EMBOLIS,3.0,21.0,13.333333333333334
PANCREATITIS;DIABETIC KETOACIDOSIS,4.0,12.0,10.25
PANCREATITIS;DTS,1.0,2.0,2.0
PANCREATITIS;ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY,1.0,10.0,10.0
PANCREATITIS;ETOH WITHDRAWL,1.0,2.0,2.0
PANCREATITIS;FEVER,1.0,13.0,13.0
PANCREATITIS;GALLSTONE,4.0,9.0,19.25
PANCREATITIS;GASTROINTESTINAL BLEED,1.0,7.0,7.0
PANCREATITIS;PSEUDOCYST,1.0,26.0,26.0
PANCREATITIS;SEPSIS;TELEMETRY,1.0,12.0,12.0
PANCREATITIS;SICK SINUS SYNDROME,2.0,1.0,22.5
PANCREATITIS;TELEMETRY,2.0,26.0,21.666666666666668
PANCREATITIS\ERCP,1.0,12.0,12.0
PANCREATITS,1.0,36.0,36.0
PANCYTOPENIA,2.272727272727273,25.545454545454547,19.190151515151516
PANCYTOPENIA;FEBRILE NEUTROPENIA,2.0,34.0,59.5
PANCYTOPENIA;PANCREATITIS,1.0,18.0,18.0
PANCYTOPENIA;PLEURAL EFFUSION,8.0,7.0,15.125
PANNUS HEMATOMA,5.0,3.0,6.6
PANNUS ULCERS,1.0,28.0,28.0
PANOLITIS,1.0,7.0,7.0
PANREATITIS,1.0,8.0,8.0
PAPILLARY RUPTURE,3.0,24.0,12.666666666666666
PARAESOPHAGEAL HERNIA/SDA,1.6666666666666667,5.833333333333333,6.666666666666667
PARAESOPHAGEAL HERNIA\LAPARSCOPIC REPAIR PARAESOPHAGEAL HERNIA W/ FUNDOPLICATION; ? OPEN/SDA,1.0,34.0,34.0
PARAFUSION,1.0,3.0,3.0
PARAGANGLIONOMA OF ABDOMEN/SDA,1.0,23.0,23.0
PARALYSIS,2.0,1.0,1.5
PARANEOPLASTIC NEUROPATHY;RESPIRATORY FAILURE,3.0,18.0,8.333333333333334
PARAPHARYNGEAL ABSCESS,1.0,4.0,4.0
PARAPHARYNGEAL MASS,1.0,5.0,5.0
PARAPHARYNGEAL SPACE INFECTION,1.0,2.0,2.0
PARAPLEGIA,1.6666666666666667,12.666666666666666,9.444444444444445
PARASPINAL ABSCESS,2.5,35.5,19.416666666666664
PARASTOMAL HERNIA,5.0,17.0,28.0
PARASTOMAL HERNIA LEFT ABDOMEN/SDA,1.0,5.0,5.0
PARASTOMAL HERNIA/SDA,1.0,8.0,8.0
PARATHYROID CANCER,1.0,7.0,7.0
PARATONSILLAR ABSCESS,2.0,2.0,3.5
PARATRACHEAL MASS/SDA,2.0,8.5,10.333333333333334
PARCREATIC TRANSPLANT,1.0,10.0,10.0
PARENCHYMAL BLEED,1.0,0.0,0.0
PARENCHYMAL HEMORRHAGE,1.0,9.0,9.0
PARIETAL BLEED,1.0,5.0,5.0
PARIETAL MASS,1.0,75.0,75.0
PARKINSON DISEASE; ACUTE RELAPSE,2.0,8.0,5.0
PARKINSON'S DISEASE/SDA,1.3333333333333333,7.0,8.0
PARKINSON'S/SDA,1.0,2.0,2.0
PAROTID CANCER; HYPERGLYCEMIA,1.0,5.0,5.0
PAROTID TUMOR/SDA,1.0,3.0,3.0
PAROTIDITIS,2.0,3.0,3.0
"PAROTITIS,PAROTID ABSCESS,NEW DM",1.0,7.0,7.0
PAROTITIS;MRSA,1.0,20.0,20.0
PAROXYMAL ATRIAL FIBRILLATION\ATRIOVENTRICULAR JUNCTION ABLATION/ATRIOVENTRICULAR NODE ABLATION,3.0,10.0,6.666666666666667
PAROXYSMAL ATRIAL AFRIBILLATION\MITRAL VALVE REPLACEMENT (FULL MAZE) /SDA,1.0,5.0,5.0
PAROXYSMAL ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION **REMOTE WEST** /SDA,1.0,1.0,1.0
PAROXYSMAL VENTRICULAR TACHYCARDIA\VENTRICULAR TACHYCARDIA ABLATION  ICD LEAD EXTRACTION/REIMPLANT /SDA,3.0,5.0,10.666666666666666
PARSPINAL TUMOR/SDA,1.0,9.0,9.0
PARTIAL SBO,4.666666666666667,9.333333333333334,11.287037037037038
PARTIAL SMALL BOWEL OBSTRUCTION,1.6,11.6,8.6
PARTIAL SMALL BOWEL OBSTRUCTION;RECTAL CANCER,1.0,20.0,20.0
PARTIAL THUMB AMPUTATION,1.0,4.0,4.0
PARTISL SMALL BOWELL OBSTRUCTION;DEHYDRATION,1.0,21.0,21.0
PATENT FORAMAN OVALE\ PATENT FORAMEN OVALE MINIMALLY INVASIVE/SDA,1.0,5.0,5.0
PATENT FORAMEN OVALE,1.0,3.0,3.0
PATENT FORAMEN OVALE\PATENT FORAMEN OVALE CLOSURE,1.0,4.0,4.0
PATENT FORAMEN OVALE\PATENT FORAMEN OVALE MINIMALLY INVASIVE ,1.5,4.0,3.5
PATHOLOGIC FRACTURE OF MANDIBLE/SDA,1.0,16.0,16.0
"PATHOLOGICAL FRACTURE, L1/SDA",3.0,0.0,7.0
PATHOLOGICAL FRACTURES TO SPINE,1.0,16.0,16.0
PATIENT FORAMEN OVALE\ PATENT FORAMEN OVALE MINIMALLY INVASIVE/SDA,2.0,4.0,4.0
PATIENT FORAMEN OVALE\ PATIENT FORAMEN OVALE/SDA,1.0,4.0,4.0
PCA ANEURYSM/SDA,2.0,3.0,3.0
PCN DESENTIZATION,1.0,6.0,6.0
PCOM,1.0,16.0,16.0
PCOM ANEURYSM/SDA,1.5,3.0,7.75
PCP PNEUMONIA,1.0,11.0,11.0
PDA/PREMATURITY,3.0,19.0,7.333333333333333
PDA\ RE-DO RIGHT VENTRICULAR; FLOW RECONSTRUCTION/SDA,1.0,9.0,9.0
PE,1.5,10.166666666666666,10.25
PE/DVT,2.0,23.0,14.5
PE/PNA,1.0,11.0,11.0
PE;AORTIC DISSECTION,1.0,8.0,8.0
PEA ARREST,1.1428571428571428,5.285714285714286,5.357142857142857
PEA ARREST;MYOCARDIAL INFARCTION,2.0,14.0,9.5
PEANUT ALLERGIC REACTION;AIRWAY OBSTRUCTION,1.0,0.0,0.0
PED STRUCK,1.4285714285714286,10.142857142857142,11.476190476190476
PED STRUCK; MULTI SYSTEM TRAUMA,1.0,9.0,9.0
PED. STRUCK L2 COMPRESSION FRACTURE;TELEMETRY,1.0,10.0,10.0
"PEDAL EDEMA,HYPOKALEMIA",1.0,38.0,38.0
"PEDESRTRIAN STRUCK, LEG FRACTURES",1.0,18.0,18.0
PEDESTRAIN STRUCK,1.0,10.0,10.0
PEDESTRIAL STRUCK,1.0,29.5,29.5
PEDESTRIAN STRUCK,1.2142857142857142,14.738095238095237,14.083333333333334
PEDESTRIAN STRUCK BU MOTORCYCLE,1.0,20.0,20.0
PEDESTRIAN STRUCK BY CAR,1.0,29.0,29.0
"PEDESTRIAN STRUCK,HEAD INJURY",1.0,15.0,15.0
"PEDESTRIAN STRUCK,SUBARACHNOID HEMORRHAGE,ANKLE FRACTURE",1.0,2.0,2.0
PEDESTRIAN STRUCK;MULTIPLE TRAUMA,2.0,18.0,10.0
PEDESTRIAN STRUCK;SUBDURAL HEMORRHAGE,1.0,9.0,9.0
PEDESTRIAN STUCK,1.0,6.0,6.0
PEDESTRIAN VS AUTO,1.0,6.0,6.0
PEDESTRIAN VS. MOTOR VEHICLE;SUBARACHNOID HEMORRHAGE;C7 JOINT FRACTURE,1.0,26.0,26.0
PEDISTRIAN STRUCK,1.0,7.6,7.6
PEDISTRIAN STRUCK;SUBARACHNOID HEMATOMA,1.0,10.0,10.0
PEDISTRIAN STRUCK;TELEMETRY,2.0,17.0,12.0
PEDISTRIAN STUCK;INFERIOR RAMUS PELVIC FRACTURE,1.0,3.0,3.0
PEERFORATION,1.0,12.0,12.0
PELVIC ABSCESS,1.6666666666666667,8.0,7.777777777777779
PELVIC ABSCESS WITH PERFORATED VISCUS;FISTULA,2.0,38.0,24.5
PELVIC ADHESIONS AND BREAST CANCER/SDA,1.0,10.0,10.0
PELVIC BLEED,2.0,5.0,5.0
PELVIC FRACTURE,1.1388888888888888,11.11111111111111,11.180555555555555
"PELVIC FRACTURE,MULTIPLE TRAUMA",1.0,11.0,11.0
PELVIC FRACTURE-S/P PEDESTRIAN STRUCK,1.0,3.0,3.0
PELVIC FRACTURE; ICH,1.0,3.0,3.0
PELVIC FRACTURE;BLEED,1.0,4.0,4.0
PELVIC FRACTURE;HUMERUS FRACTURE,1.0,8.0,8.0
PELVIC FRACTURE;HYPOXIA,1.0,10.0,10.0
PELVIC FRACTURE;RETROPERITONEAL BLEED,1.0,1.0,1.0
PELVIC FRACTURE;S/P FALL,1.0,14.0,14.0
PELVIC FRACTURE;TELEMETRY,1.0,16.0,16.0
PELVIC FRACTURES,1.0,1.0,1.0
PELVIC FX,1.0,10.857142857142858,10.857142857142858
PELVIC HEMATOMA,1.0,8.333333333333334,8.333333333333334
PELVIC INFECTION,1.0,7.0,7.0
PELVIC INFLAMMATORY DISEASE;SEPSIS;TELEMETRY,1.0,2.0,2.0
PELVIC INJURY,1.0,2.0,2.0
PELVIC MASS,1.3333333333333333,8.333333333333334,8.0
"PELVIC MASS, OVARIAN CA/SDA",1.0,15.0,15.0
PELVIC MASS/BREAST CANCER/SDA,2.0,15.0,13.0
PELVIC MASS/SDA,1.1785714285714286,13.821428571428571,13.244047619047619
PELVIC MASS;URINARY RETENTION,1.0,13.0,13.0
PELVIC ORGAN PROLAPSE /SDA,1.0,6.0,6.0
PELVIC ORGAN PROLAPSE/SDA,1.0,2.5,2.5
PELVIC ORGAN PROLAPSE; STRESS URINARY INCONTINENCE/SDA,1.0,8.0,8.0
PELVIC PAIN,3.0,8.0,5.666666666666667
PELVIC PAIN-? OVARIAN TORSION,2.0,0.0,2.5
PELVIC PAIN/SDA,1.0,4.0,4.0
PELVIC PROLAPSE/SDA,1.0,4.0,4.0
PELVIC TUMOR/SDA,2.0,10.0,19.0
PELVIS AND BILATERAL WRIST FRACTURES,1.0,43.0,43.0
PELVIS FRACTURE,1.5,5.0,5.5
PELVIS FRACTURE;FACIAL FRACTURE,1.0,19.0,19.0
PEMPHIGUSKIN CONDITION,2.0,20.0,24.5
PENCARDIAL EFFUSION;HYPOXIA,1.0,4.0,4.0
PENETRATING TRAUMA,1.0,7.5,7.5
PENILE CANCER/SDA,2.0,6.0,5.5
PENILE LACERATION-CELLULITIS,1.0,21.0,21.0
PEPTIC ULCER DISEASE/VENTRAL HERNIA/SDA,1.0,45.0,45.0
PEPTIC ULCER;HIATIAL HERNIA/SDA,3.0,15.0,8.333333333333334
PER OP LIVER,1.0,6.0,6.0
PERCARDITIS\ PERICARDECTOMY/SDA,1.0,3.0,3.0
PERF APPENDIX,1.0,10.0,10.0
PERFED BOWEL,1.0,2.0,2.0
PERFED DUODENUM,2.0,7.0,5.5
PERFERATED CECUM/SDA,2.0,11.0,12.0
PERFERATION S/P ERCP,1.0,16.0,16.0
PERFORATED ANUS,2.0,2.0,1.0
PERFORATED APPENDIX,1.5,7.0,9.0
PERFORATED BILE DUCT,3.0,19.0,8.333333333333334
PERFORATED BOWEL,1.411764705882353,14.058823529411764,12.735294117647058
PERFORATED BOWEL ,1.0,18.0,18.0
PERFORATED CHRON'S COLITIS,3.0,15.0,16.0
PERFORATED COLON,2.5,15.25,10.964285714285715
PERFORATED DIVERTICULA,1.0,17.0,17.0
PERFORATED DIVERTICULITIS,2.0,10.625,8.666666666666668
PERFORATED DIVERTICULITIS/SDA,4.0,6.0,6.5
PERFORATED DIVERTICULUM,1.5,12.0,11.125
PERFORATED DUODENUM,1.7142857142857142,16.142857142857142,14.023809523809524
PERFORATED DUODEUM,2.0,21.0,17.0
PERFORATED ESOPHAGUS,1.0,4.666666666666667,4.666666666666667
PERFORATED ESPHAGUS,1.0,11.0,11.0
PERFORATED GALLBLADDER/SDA,1.0,13.0,13.0
PERFORATED GASTRIC ULCER,1.0,17.0,17.0
PERFORATED GASTRIC ULCER; HYPOTENSION,2.0,31.0,22.5
PERFORATED RIGHT CORONARY ARTERY,1.0,5.0,5.0
PERFORATED VISCERA,1.0,1.0,1.0
PERFORATED VISCOUS,1.0,19.5,19.5
PERFORATED VISCUS,1.0,12.75,12.75
PERFORATION,1.5,15.5,14.25
PERFORATION S/P ERCP,1.0,19.0,19.0
PERFORATION S/P ERCP;GALLSTONES,1.0,8.0,8.0
PERFORATION; S/P ERCP,1.0,15.0,15.0
PERI RECTAL ABSCESS,6.0,4.0,7.333333333333333
PERI-RECTAL ABSCESS,2.0,9.0,9.5
PERIAPPENDICEAL ABSCESS,2.0,11.0,6.5
PERICADIAL EFFUSION\PERICARDECTOMY/SDA,1.0,31.0,31.0
PERICARDIAL ABSCESS,1.0,10.0,10.0
PERICARDIAL AND PLEURAL EFFUSION,3.0,0.0,7.333333333333333
PERICARDIAL CONSTRICTION,1.0,16.0,16.0
PERICARDIAL DISEASE\PERICARDIAL STRIPPING/SDA,4.0,17.0,8.25
PERICARDIAL DRAIN,2.0,4.0,4.0
PERICARDIAL EFFUAION,1.0,11.0,11.0
PERICARDIAL EFFUSION,1.7216494845360826,6.360824742268041,6.602233676975945
PERICARDIAL EFFUSION WITH TAMONADE,1.0,2.0,2.0
PERICARDIAL EFFUSION WITH TAMPONADE\PERICARDIOCENTESIS,1.0,0.0,0.0
"PERICARDIAL EFFUSION, TOMPONADE",3.0,10.0,13.0
"PERICARDIAL EFFUSION,SEPSIS",1.0,16.0,16.0
PERICARDIAL EFFUSION/ PNEUMONIA,2.0,0.0,5.5
PERICARDIAL EFFUSION/NSTEMI,3.0,5.0,10.666666666666666
PERICARDIAL EFFUSION/SDA,2.0,4.0,11.0
PERICARDIAL EFFUSION; CHEST PAIN,1.0,4.0,4.0
PERICARDIAL EFFUSION; DYSPNEA; METASTATIC BREAST CA\PERICARDIAL TAP,1.0,3.0,3.0
PERICARDIAL EFFUSION;ATRIAL FIBRILLATION\PERICARDIOCENTESIS,2.0,10.0,8.5
PERICARDIAL EFFUSION;CARDIAC ARREST,3.0,4.0,12.0
PERICARDIAL EFFUSION;CHOLECYSTITIS,2.0,11.0,12.0
PERICARDIAL EFFUSION;DYSPNEA,2.0,6.0,6.0
PERICARDIAL EFFUSION;DYSPNEA\PERICARDIOCENTESIS,2.0,3.0,5.5
PERICARDIAL EFFUSION;NON SMALL CELL CARCINOMA,1.0,4.0,4.0
PERICARDIAL EFFUSION;PERICARDIAL TAMPONADE\PERICARDIOCENTESIS,1.0,5.0,5.0
PERICARDIAL EFFUSION;PLEURAL EFFUSION,1.0,12.0,12.0
PERICARDIAL EFFUSION;PLUERAL EFFUSIONS,6.0,24.0,12.333333333333334
PERICARDIAL EFFUSION;RIGHT HIP FRACTURE,2.0,5.0,5.5
PERICARDIAL EFFUSION;S/P FALL,2.0,18.0,11.0
PERICARDIAL EFFUSION;SHORTNESS OF BREATH,3.0,3.0,3.6666666666666665
PERICARDIAL EFFUSION;TAMPONADE,2.0,3.5,5.75
PERICARDIAL EFFUSION;TELEMETRY,1.0,3.0,3.0
PERICARDIAL EFFUSION;UPPER GASTROINTESTINAL BLEED,1.0,10.0,10.0
PERICARDIAL EFFUSION\BALLOOM PERICARDIOTOMY,2.0,3.0,5.0
PERICARDIAL EFFUSION\CARDIAC TAP,1.0,3.0,3.0
PERICARDIAL EFFUSION\CATH,2.0,6.4,9.75
PERICARDIAL EFFUSION\PERICARDIAL CENTESIS,1.0,4.5,4.5
PERICARDIAL EFFUSION\PERICARDIAL TAP,1.25,4.25,4.9375
PERICARDIAL EFFUSION\PERICARDIAL TAP/SDA,1.5,2.0,1.75
PERICARDIAL EFFUSION\PERICARDIOCENTESIS,1.2,5.2,4.6
PERICARDIAL FUSION/SDA,2.0,8.0,5.5
PERICARDIAL HEMATOMA,7.0,10.0,13.857142857142858
PERICARDIAL MASS,2.0,3.0,4.0
PERICARDIAL RUB,2.0,6.0,9.0
PERICARDIAL TAMPONADE,1.75,9.5,8.784722222222221
PERICARDIAL TAMPONADE;TELEMETRY,1.0,7.0,7.0
PERICARDIAL TAMPONADE\PERICARDIAL TAP,1.0,3.0,3.0
PERICARDITIS,1.1666666666666667,8.666666666666666,8.5
PERICARDITIS-HYPOTENSION,1.0,25.0,25.0
PERICARDITIS;PERICARDIAL EFFUSION,4.0,17.0,10.5
PERICARDITIS;TELEMETRY,1.0,3.0,3.0
PERICARDITIS\CHEST TAP,1.0,4.0,4.0
PERICARDITIS\PERICARDECTOMY,1.0,7.0,7.0
PERICARDITIS\PERICARDECTOMY/SDA,1.0,3.0,3.0
PERICARDITITIS,1.0,2.0,2.0
PERICOLOSTOMY HERNIA,1.0,15.0,15.0
PERICRDIAL EFFUSION,2.0,2.0,3.5
PERIDONTAL ABSCESS;TELEMETRY,1.0,3.0,3.0
PERINATAL DEPRESSION,1.0,11.0,11.0
PERINEAL ABSCESS ,1.0,19.0,19.0
PERINEPHRIC BLEEDING,1.0,15.0,15.0
PERIORBITAL CELLULITIS,1.0,10.0,10.0
PERIORBITAL STREP CELLULITIS,1.0,13.0,13.0
PERIPHERAL DISEASE;ANGIOPLASTY;STENT PLACEMENT\CATH,1.0,1.0,1.0
PERIPHERAL EDEMA,1.0,45.0,45.0
PERIPHERAL INSUFFICIENCY;RIGHT FOOT,1.0,11.0,11.0
PERIPHERAL VASCULAR DIEASE;HYPERTENSION;CORONARY ARTERY DISEASE\RIGHT LEG ANGIOGRAM,3.0,6.0,11.333333333333334
PERIPHERAL VASCULAR DISEASE,2.5714285714285716,19.428571428571427,17.349999999999998
"PERIPHERAL VASCULAR DISEASE, CAROTID STENOSIS, TIA",1.0,8.0,8.0
PERIPHERAL VASCULAR DISEASE/SDA,1.6,9.0,11.9
PERIPHERAL VASCULAR DISEASE; REST PAIN\RIGHT LOWER EXTREMITY ANGIOGRAM,2.0,2.0,5.5
PERIPHERAL VASCULAR DISEASE; RIGHT SUPERFICIAL FEMORAL ARTERY DISEASE\RIGHT PERIPHERAL ANGIOGRAM,1.0,17.0,17.0
PERIPHERAL VASCULAR DISEASE;CELLULITIS LEFT HEEL,1.0,28.0,28.0
PERIPHERAL VASCULAR DISEASE;CORONARY ARTERY DISEASE\PERIPHERAL ANGIOGRAM,3.0,9.0,14.0
PERIPHERAL VASCULAR DISEASE;CORONARY ARTERY DISEASE\RIGHT LOWER EXTREMITY ANGIOGRAM;CORONARY CATH,3.0,6.0,11.333333333333334
PERIPHERAL VASCULAR DISEASE;FEMUR FRACTURE;ORBITAL FRACTURE,1.0,6.0,6.0
PERIPHERAL VASCULAR DISEASE;HYPERTENSION;CLAUDICATION;CORONARY ARTERY DISEASE\LEFT LEG ANGIOGRAM,1.0,2.0,2.0
PERIPHERAL VASCULAR DISEASE;HYPERTENSION\CATH,1.0,1.0,1.0
PERIPHERAL VASCULAR DISEASE;ISCHEMIA;HYPERTENSION\CATH,1.0,16.0,16.0
PERIPHERAL VASCULAR DISEASE;ISCHEMIC LEFT FOOT,12.0,85.0,23.833333333333332
PERIPHERAL VASCULAR DISEASE;RENAL INSUFFICIENCY\LEG ANGIOGRAM;AA RUNOFF,2.0,2.0,5.0
PERIPHERAL VASCULAR DISEASE;RIGHT ILIAC STENOSIS\ANGIOGRAM WITH RUN-OFFS,1.0,6.0,6.0
PERIPHERAL VASCULAR DISEASE;SHORTNESS OF BREATH;CHEST HEAVINESS;ISCHEMIA;HYPERTENSION;DIABETES\CATH,1.0,30.0,30.0
PERIPHERAL VASCULAR DISEASE\AA RUNOFFS,1.0,5.0,5.0
PERIPHERAL VASCULAR DISEASE\BILATERAL LEG ANGIOGRAM,3.0,3.0,5.333333333333333
PERIPHERAL VASCULAR DISEASE\BILATERAL LOWER EXTREMITY ANGIOGRAM,1.0,2.0,2.0
"PERIPHERAL VASCULAR DISEASE\LEEMAN,DAVID",1.0,1.0,1.0
PERIPHERAL VASCULAR DISEASE\LEFT LEG ANGIOGRAM,1.0,3.0,3.0
PERIPHERAL VASCULAR DISEASE\LOWER EXTREMITY ANGIOGRAM,1.0,4.0,4.0
PERIPHERAL VASCULAR DISEASE\PERIPHERAL ANGIOGRAM,2.0,14.0,9.666666666666666
PERIPHERAL VASCULAR DISEASE\RIGHT LOWER EXTREMITY ANGIOGRAM,1.0,4.0,4.0
PERIPHERAL VASCULAR DS,1.0,13.0,13.0
PERIPHERAL VASCULAR DUSEASE,1.0,7.0,7.0
PERIPJERAL VASCULAR DISEASE,7.0,18.0,11.857142857142858
PERIRECTAL ABCESS WITH GANGRENE,1.0,4.0,4.0
PERIRECTAL ABSCESS,1.5,23.0,24.0
PERIRENAL BLEED HEMATOMA,1.0,2.0,2.0
PERITONEAL BLEED,1.5,15.0,10.75
PERITONEAL MASS,2.0,12.0,11.5
PERITONEAL SEPSIS,7.0,10.0,7.857142857142857
PERITONITIS,2.6,12.1,11.846666666666668
"PERITONITIS, S/P SIGMOID RESECTION/SDA",4.0,6.0,18.5
PERITONSILAR CELLULITIS,1.0,1.0,1.0
PERITONSILLAR ABSCESS,1.0,4.666666666666667,4.666666666666667
PERITONSILLAR ABSESS,1.0,3.0,3.0
PERITONSILLAR PHELEGMON,2.0,3.0,4.0
PERSISTANT NAUSEA AND VOMITING,6.0,6.0,17.0
PERSISTANT NAUSEA-VOMITING-ETOH WITHDRAWAL,3.0,5.0,5.333333333333333
PERSISTANT TACHYCARDIA;?HYPOTHYROID,1.0,3.0,3.0
PERSISTENT AFRIBULATION\ MINI MAZE PROCEDURE W/ BILATERAL THORACOTOMIES/SDA,1.0,2.0,2.0
PERSISTENT ANGINA\CATH,1.0,0.0,0.0
PERSISTENT HYPOTENSION,3.0,0.0,1.0
PERSISTENT PNEUMONIA,1.0,21.0,21.0
PERSISTENT V-FIB ARREST,1.0,2.0,2.0
PERSONAL HX OF BREAST CA/SDA,2.0,0.0,2.0
PES PLANOVALGULS DEFORMITY/SDA,1.0,5.0,5.0
PETECHIAE;HYPOTENSION,12.0,21.0,10.666666666666666
PETITONITIS,2.0,6.0,18.0
PETROUS MEINGIOMA /SDA,2.0,2.0,5.0
PFO\ MINIMALLY INVASIVE PFO CLOSURE/SDA,1.0,3.0,3.0
PFO\ PFO,1.0,6.0,6.0
PFO\AORTIC VALVE REPLACEMENT; PFU; MAZE PROCEDURE; ? MVR,1.0,10.0,10.0
PFO\PATENT FORAMEN OVALE CLOSURE ,1.0,4.0,4.0
PFO\PATENT FORAMEN OVALE;MINIMALLY INVASIVE,1.0,4.0,4.0
PFO\REPAIR ATRIAL-SEPTAL DEFECT; PFO,1.0,8.0,8.0
PHARYNGEAL ABSCESS,2.0,26.0,20.0
PHARYNGEAL SWELLING,1.0,8.0,8.0
PHARYNGITIS,3.0,2.0,15.666666666666666
PHENOBARBITAL OVERDOSE,5.0,2.0,2.8
PHENOBARBITAL TOXICITY,2.0,6.0,7.0
PHEO CHROMACYTOMA/SDA,1.0,6.0,6.0
PHEOCHROMOCYTIOMA/SDA,1.0,4.0,4.0
PHLEGMASIA,3.0,4.0,7.0
PIC LINE PLACEMENT,2.0,2.0,26.0
PICA ANEURYSM,2.0,32.0,20.5
PICC LINE INFECTION,1.0,11.0,11.0
PINEAL REGION EPIDIMOID/SDA,1.0,3.0,3.0
PINEAL REGION TUMOR/SDA,1.0,8.0,8.0
PITUITARY ABSCESS,2.0,12.0,12.0
PITUITARY ADENOMA/SDA,1.6666666666666667,3.0,3.0
PITUITARY ADENOMA; HYPONATREMIA,1.0,12.0,12.0
PITUITARY BLEED,1.0,1.0,1.0
PITUITARY MASS,1.0,11.0,11.0
PITUITARY MASS/SDA,1.5,4.0,4.0
PITUITARY TUMOR,1.5,14.0,15.25
PITUITARY TUMOR/SDA,1.3333333333333333,3.8333333333333335,4.083333333333333
PLASMA CELL LEUKEMIA;FEVER,2.0,83.0,47.5
PLEURAL CUT FISTULA PE,1.0,30.0,30.0
PLEURAL EFFUSION,2.0135135135135136,12.08108108108108,13.065653153153155
PLEURAL EFFUSION AND RIGHT NODE NODULE /SDA,2.0,5.0,6.5
