,terms
37129,Rightsided pleural effusion SP paracentesis
37130,acute posterior multifocal placoid pigment epitheliopathy eye
37131,displacement lateral globe bilateral
37132,unspecified fracture shaft radius sequela
37133,tear medial meniscus injury knee
37134,presence artificial shoulder joint
37135,social phobia
37136,injury unspecified nerve ankle foot leg
37137,unspecified fracture shaft humerus unspecified arm fracture nonunion
37138,drowning submersion canoe kayak sinking
37139,tuberculous arthritis joints
37140,cerebral infarction unspecified occlusion stenosis bilateral cerebellar arteries
37141,secondary carcinoid tumors distant lymph nodes
37142,annular pancreas
37143,paralytic syndrome nontraumatic subarachnoid hemorrhage affecting unspecified
37144,Sepsis Methicillin susceptible Staphylococcus aureus
37145,overexertion prolonged static awkward postures sequela
37146,acute actinic otitis externa unspecified ear
37147,non-pressure chronic ulcer unspecified unspecified leg bone evidence necrosis
37148,military operations unintentional restriction airway military personnel
37149,morquio mucopolysaccharidoses
37150,major depressive disorder single episode moderate
37151,nondisplaced fracture neck talus fracture nonunion
37152,isolated proteinuria deposit disease
37153,traumatic transphalangeal amputation thumb sequela
37154,adverse effect blood protozoa
37155,Azoospermia drug therapy
37156,unspecified injury intrinsic fascia tendon little finger wrist hand
37157,unspecified fracture shaft fibula fracture iiia iiib iiic healing
37158,strain fascia tendon parts biceps arm
37159,Myocardial infarction status post diagnostic cardiac
37160,dietary folate deficiency anemia
37161,striking against diving board
37162,hot water sequela
37163,burn unspecified degree unspecified wrist sequela
37164,Pneumonia other streptococci
37165,unspecified congenital malformation bladder urethra
37166,congenital renal artery stenosis
37167,spontaneous disruption unspecified ligament unspecified knee
37168,nondisplaced fracture base metacarpal bone sequela
37169,follicular lymphoma grade lymph nodes axilla limb
37170,legal intervention injury rubber bullet suspect injured sequela
37171,postlaminectomy syndrome
37172,burn unspecified degree unspecified knee
37173,vascular abnormalities conjunctiva unspecified eye
37174,malignant neoplasm nerves thorax
37175,spondylolysis thoracic region
37176,displaced fracture neck scapula shoulder fracture healing
37177,Thick secretions
37178,chronic osteomyelitis unspecified tibia fibula
37179,gestational proteinuria puerperium
37180,fall storm drain manhole
37181,military operations unarmed hand hand combat military personnel
37182,abnormal posture
37183,laceration axillary brachial vein sequela
37184,unspecified physeal fracture unspecified metatarsal fracture
37185,hemarthrosis unspecified wrist
37186,laceration foreign body cavity
37187,unspecified dislocation unspecified knee
37188,blister nonthermal breast breast sequela
37189,typhus fever unspecified
37190,dislocation unspecified ankle joint
37191,unspecified alcohol-induced sexual dysfunction
37192,nondisplaced unspecified condyle fracture unspecified femur fracture
37193,nondisplaced maisonneuve's fracture leg fracture nonunion
37194,sprain specified parts knee sequela
37195,krabbe disease
37196,fitting adjustment peritoneal dialysis catheter
37197,unspecified lump breast subareolar
37198,atherosclerosis artery bypass grafts angina pectoris spasm
37199,rheumatoid arthritis rheumatoid factor unspecified wrist organ systems
37200,unspecified focal traumatic brain injury loss consciousness pre-existing conscious surviving
37201,postherpetic geniculate ganglionitis
37202,conjunctival concretions bilateral
37203,specified disorders middle ear mastoid bilateral
37204,unspecified injury unspecified tibial artery leg sequela
37205,injury abducent nerve sequela
37206,unspecified intracapsular fracture femur fracture
37207,aneurysm aorta diseases
37208,nondisplaced oblique fracture shaft unspecified tibia fracture iiia iiib iiic
37209,brucellosis brucella melitensis
37210,hereditary nephropathy unspecified morphologic lesions
37211,unspecified physeal fracture radius unspecified arm fracture
37212,fitting adjustment unspecified prosthetic device
37213,bipolar disorder partial remission episode manic
37214,monteggia's fracture ulna sequela
37215,displaced lateral mass fracture cervical vertebra fracture nonunion
37216,pulp degeneration
37217,coma scale best verbal response incomprehensible unspecified
37218,nondisplaced comminuted fracture shaft unspecified tibia sequela
37219,nondisplaced transverse fracture shaft humerus unspecified arm fracture
37220,passenger pick-up truck van injured collision nonmotor nontraffic accident sequela
37221,displaced fracture base metacarpal bone fracture nonunion
37222,unspecified juvenile rheumatoid arthritis elbow
37223,nondisplaced fracture distal phalanx unspecified thumb fracture healing
37224,birth injury skeleton unspecified
37225,sedative hypnotic anxiolytic unspecified sedative hypnotic anxiolytic-induced psychotic disorder delusions
37226,pressure ulcer hip unstageable
37227,absolute glaucoma bilateral
37228,births unspecified some liveborn
37229,unspecified occupant bus injured collision railway train railway traffic accident sequela
37230,cerebral infarction thrombosis cerebellar artery
37231,benign neoplasm heart
37232,plasmodium malariae malaria complications
37233,age-related osteoporosis pathological fracture humerus fracture nonunion
37234,injury unspecified nerve thorax sequela
37235,nondisplaced fracture medial condyle femur fracture iiia iiib iiic nonunion
37236,symptoms signs cognitive functions nontraumatic intracerebral hemorrhage
37237,physeal fracture metatarsal fracture healing
37238,disorders continuity bone radius
37239,bitten rat
37240,driver pick-up truck van injured collision pedal cycle traffic accident
37241,nondisplaced fracture olecranon intraarticular extension unspecified ulna sequela
37242,sepsis newborn streptococci
37243,displaced fracture capitate magnum bone wrist fracture healing
37244,passenger pick-up truck van injured collision transport bus nontraffic accident sequela
37245,insect bite specified neck
37246,transient myocardial ischemia newborn
37247,melanocytic nevi limb shoulder
37248,scarlet fever otitis media
37249,tinea cruris
37250,insect bite nonvenomous unspecified finger
37251,chronic hematogenous osteomyelitis unspecified tibia fibula
37252,carcinoma situ parts cervix
37253,disorders galactose metabolism
37254,frostbite tissue necrosis unspecified arm
37255,fall onfrom incline
37256,hotplate sequela
37257,minor laceration innominate subclavian vein sequela
37258,bent bone ulna fracture iiia iiib iiic healing
37259,unspecified superficial injury little finger
37260,necrobiosis lipoidica
37261,specified injury renal artery sequela
37262,ganglion elbow
37263,displaced supracondylar fracture intracondylar extension unspecified femur fracture
37264,complication unspecified cardiac device
37265,legal intervention injury rubber bullet unspecified person injured
37266,art gallery place occurrence
37267,displaced supracondylar fracture intercondylar fracture unspecified humerus fracture
37268,motorcycle passenger injured collision pedestrian nontraffic accident sequela
37269,traumatic rupture collateral ligament wrist sequela
37270,carcinoma situ skin unspecified ear auricular canal
37271,specified injury blood vessel index finger
37272,sprain unspecified parts unspecified shoulder girdle sequela
37273,furuncle unspecified hand
37274,retinal vein occlusion unspecified eye retinal neovascularization
37275,pedestrian injured traffic accident vehicles sequela
37276,displaced unspecified fracture toe fracture
37277,bite unspecified hand
37278,chronic embolism thrombosis unspecified veins proximal extremity
37279,foster father perpetrator maltreatment neglect
37280,dependence renal dialysis
37281,retinal detachment breaks unspecified eye
37282,burn degree thumb nail sequela
37283,displaced comminuted fracture shaft femur fracture iiia iiib iiic nonunion
37284,person boarding alighting three-wheeled injured collision railway train railway sequela
37285,syphilis pregnancy trimester
37286, prolonged MICU stay
37287,spermatocele epididymis
37288,hyperkalemia newborn
37289,nondisplaced osteochondral fracture patella fracture iiia iiib iiic
37290,displaced segmental fracture shaft humerus arm fracture nonunion
37291, intercerebral hemorrhage followup study
37292,non-pressure chronic ulcer unspecified thigh specified severity
37293,cataract status unspecified eye
37294,crushing injury specified parts neck
37295,motorcycle passenger injured collision pick-up truck van traffic accident
37296,displaced fracture body unspecified talus fracture malunion
37297,driver snowmobile injured nontraffic accident sequela
37298,abducent nerve palsy unspecified eye
37299,superficial foreign body lip sequela
37300,Large subarachnoid hemorrhage evaluate for interval change
37301,injury adductor fascia tendon unspecified thigh sequela
37302,Endocarditis aortic valve incompetence pulmonary edema status
37303,specified disorders bone density site
37304, OGT placement
37305,unspecified fracture toes fracture nonunion
37306,sprain tarsometatarsal ligament unspecified foot
37307,direct infection elbow infectious parasitic diseases
37308,activity sports athletics played team
37309,fall off toilet striking against object sequela
37310,spondylopathy diseases cervical region
37311,war operations combat using blunt piercing object military personnel sequela
37312,barton's fracture radius fracture iiia iiib iiic malunion
37313,adverse effect unspecified primarily affecting cardiovascular sequela
37314,breakdown carotid arterial graft bypass
37315,hordeolum internum eyelid
37316,age-related osteoporosis pathological fracture unspecified leg fracture healing
37317,kitchen apartment place occurrence
37318,unspecified pedal cyclist injured collision nonmotor nontraffic accident sequela
37319,nondisplaced fracture ulna styloid fracture malunion
37320,residual ovary syndrome
37321,legal intervention firearm discharge unspecified person injured
37322,nondisplaced fracture lateral malleolus fibula fracture healing
37323,fall board unspecified watercraft
37324,affecting metabolism accidental unintentional sequela
37325,unspecified injury ear
37326,blood negative
37327,pathological fracture radius sequela
37328,laceration specified muscles tendons ankle foot foot
37329,animal-rider injured collision two- three-wheeled sequela
37330,Question pneumothorax
37331,bursitis unspecified elbow
37332,idiopathic aseptic necrosis unspecified ankle
37333,hypoesthesia cornea bilateral
37334,pedestrian roller-skates injured collision transport bus nontraffic accident sequela
37335,specified injury pulmonary blood vessels sequela
37336,coma scale best verbal response confused conversation unspecified
37337,displaced fracture metatarsal bone foot sequela
37338,atrophy vulva
37339,foreign body granuloma soft tissue unspecified hand
37340,anomalous origin subclavian artery
37341,nondisplaced fracture proximal phalanx unspecified lesser toes sequela
37342,nondisplaced bimalleolar fracture unspecified leg fracture malunion
37343,pregnant incidental
37344,stress fracture unspecified tibia fibula sequela
37345,pathological fracture neoplastic disease unspecified foot fracture nonunion
37346,paralytic syndrome cerebrovascular disease affecting non-dominant
37347,Sepsis unspecified staphylococcus
37348,superficial bite unspecified foot
37349,unspecified occupant injured collision transport bus traffic accident
37350,hemarthrosis unspecified knee
37351,toxoplasma myocarditis
37352,fall hole
37353,laceration intrinsic fascia tendon index finger wrist hand
37354,status
37355,staphylococcal scalded skin syndrome
37356, neutropenia
37357,traumatic compartment syndrome extremity
37358,chronic embolism thrombosis femoral vein
37359,primarily affecting cardiovascular assault sequela
37360,burn unspecified degree abdominal
37361,rheumatoid arthritis knee organs systems
37362,pathological fracture unspecified hand fracture nonunion
37363,position dependent micturition
37364,specified arthritis unspecified hand
37365,injury other accident to other powered 
37366,nail entering through skin
37367,drowning submersion jumping burning nonpowered inflatable craft
37368,driver three-wheeled injured collision vehicles nontraffic accident sequela
37369,complication indwelling ureteral stent
37370,pathological dislocation ankle
37371,gain pregnancy trimester
37372,gout renal impairment elbow
37373,displacement implanted penile prosthesis
37374,laceration superficial vein shoulder arm unspecified arm sequela
37375,driver transport injured collision pedestrian traffic accident sequela
37376,posterior synechiae iris bilateral
37377,rheumatoid arthritis rheumatoid factor hip
37378,pedal cycle passenger injured collision two- three-wheeled nontraffic accident
37379,cyst bone thigh
37380,anaphylactic shock unspecified
37381,gout renal impairment unspecified hand
37382,slow transit constipation
37383,symptoms signs
37384,echinococcus multilocularis infection liver
37385,puncture wound foreign body unspecified front thorax penetration thoracic cavity sequela
37386,SP cardiac catheterization
37387,crushing injury knee sequela
37388,Dyspnea afibflutter
37389,person boarding alighting bus injured collision pedestrian sequela
37390,chronic embolism thrombosis unspecified popliteal vein
37391,struck nonvenomous sequela
37392,induced diabetes mellitus diabetic ophthalmic complication
37393,fracture shaft unspecified ulna fracture iiia iiib iiic
37394,military operations combat using blunt piercing object civilian sequela
37395,sternal manubrial dissociation fracture nonunion
37396,driver transport injured collision transport bus traffic accident sequela
37397,incarcerated fracture avulsion medial epicondyle unspecified humerus sequela
37398, suspected urosepsis
37399,puncture wound foreign body ear
37400,oblique atypical femoral fracture leg fracture healing
37401,Mental status change hypertension
37402,melanoma situ
37403,puncture wound foreign body nose sequela
37404,nondisplaced fracture epiphysis separation unspecified femur fracture iiia iiib iiic
37405,fracture head neck unspecified femur fracture nonunion
37406,cerebral palsy
37407,coma scale best verbal response oriented
37408,war operations destruction aircraft onboard fire civilian sequela
37409,atrophy breast
37410,osteonecrosis trauma unspecified ankle
37411,unspecified fracture toes fracture healing
37412,Right femur fracture preop clearance
37413,displaced fracture humerus sequela
37414,displaced fracture proximal phalanx middle finger fracture healing
37415,diphtheritic conjunctivitis
37416,corticobasal degeneration
37417,puncture wound foreign body shoulder
37418,unspecified injury posterior tibial artery unspecified leg
37419,legal intervention conducted energy device unspecified person injured
37420,machinery accident board unspecified watercraft
37421,dermatophytosis unspecified
37422,unspecified abnormalities
37423,primary blast injury bronchus unspecified
37424,hemorrhagic otitis externa ear
37425,villonodular synovitis pigmented shoulder
37426,fused fingers hand
37427,injury extensor fascia tendon little finger forearm sequela
37428,unspecified occupant three-wheeled injured collision unspecified vehicles traffic accident sequela
37429,intraoperative hemorrhage hematoma nervous organ nervous
37430,juvenile arthritis unspecified hip
37431,submersion being thrown by motion of 
37432,non-pressure chronic ulcer foot necrosis
37433,superficial frostbite head
37434,medial subluxation ulnohumeral joint
37435,disseminated blastomycosis
37436,acute atopic conjunctivitis eye
37437, meningioma with
37438,testicular pain unspecified
37439,palindromic rheumatism unspecified elbow
37440,immunodeficiency predominant abnormalities b-cell numbers
37441,chronic follicular conjunctivitis bilateral
37442,malignant neoplasm fundus stomach
37443,displacement internal fixation device femur sequela
37444,deficiency nutrient element unspecified
37445,unspecified injury adductor fascia tendon thigh sequela
37446,viral accidental unintentional
37447,nondisplaced subtrochanteric fracture unspecified femur fracture malunion
37448,hb-ss disease splenic sequestration
37449,person outside transport injured collision pedal cycle nontraffic accident
37450,sprain metatarsophalangeal joint unspecified toes sequela
37451,malignant neoplasm hypopharynx unspecified
37452,bent bone unspecified radius fracture
37453,insect bite nonvenomous unspecified hip sequela
37454,displacement ocular prosthetic devices implants grafts sequela
37455,chronic periodontitis localized unspecified severity
37456,unilateral intraabdominal testis
37457,abrasion unspecified finger sequela
37458,thromboembolism puerperium
37459,nondisplaced fracture coracoid unspecified shoulder fracture nonunion
37460,unspecified trochanteric fracture femur fracture healing
37461,cellulitis back buttock
37462,specified arthritis unspecified shoulder
37463,gastric contents pharynx causing asphyxiation
37464,cerebral infarction unspecified occlusion stenosis vertebral artery
37465,complications bone marrow transplant
37466,legal intervention injury dynamite bystander injured
37467,nondisplaced unspecified fracture unspecified toe sequela
37468,mouse sequela
37469,unspecified injury unspecified internal jugular vein sequela
37470,anterior scleritis eye
37471,unspecified subluxation unspecified foot sequela
37472,internal ophthalmoplegia unspecified eye
37473,non-pressure chronic ulcer unspecified ankle necrosis bone
37474,atrophic disorder skin unspecified
37475,bent bone ulna fracture
37476,unspecified fracture shaft radius fracture iiia iiib iiic malunion
37477,unspecified injury axillary brachial vein sequela
37478,struck lion sequela
37479,ocular myiasis
37480,constriction unspecified eyelid periocular sequela
37481,catatonic disorder physiological
37482,disease tongue unspecified
37483,myositis ossificans traumatica forearm
37484,breakdown intraocular lens sequela
37485,contusion leg
37486,congenital partial dislocation unspecified hip unilateral
37487,malformation placenta trimester
37488,developmental disorders
37489,urethral stricture meatal
37490,non-abo incompatibility reaction transfusion blood blood
37491,septicemic plague
37492,subluxation complex vertebral thoracic region
37493,SP traumatic Foley placement
37494,displaced oblique fracture shaft unspecified femur fracture iiia iiib iiic
37495,varicose veins unspecified extremity ulcer extremity inflammation
37496,person injured collision between transport bus traffic
37497,constriction unspecified toe
37498,postprocedural hemorrhage spleen spleen
37499,dacryolith lacrimal passage
37500,inferior dislocation acromioclavicular joint sequela
37501,specified muscular dystrophies
37502,primary focal hyperhidrosis palms
37503,vertebro-basilar artery syndrome
37504,contusion shoulder
37505,microdeletions
37506,cognitive social emotional deficit cerebrovascular disease
37507,lactose intolerance
37508,dislocation unspecified thorax
37509,Endotracheal tube placement ARDS
37510,rheumatoid heart disease rheumatoid arthritis sites
37511,abrasion index finger sequela
37512,Abdominal distention
37513,otosclerosis bilateral
37514,specified injury superior mesenteric vein
37515,diffuse sclerosis nervous
37516,injury conjunctiva corneal abrasion foreign body eye
37517,contracture foot
37518,person outside bus injured collision railway train railway traffic accident sequela
37519,malignant neoplasm retromolar
37520, subarachnoid hemorrhage rule out aneurysm
37521,unspecified injury intrinsic tendon ankle foot unspecified foot sequela
37522,driver three-wheeled injured collision transport bus traffic accident sequela
37523,bronchitis Mycoplasma pneumoniae
37524,specified non-hodgkin lymphoma intrapelvic lymph nodes
37525,physeal fracture unspecified femur fracture healing
37526,basal cell carcinoma skin eyelid canthus
37527,benign neoplasm nerves autonomic nervous abdomen
37528,intervertebral disc displacement thoracolumbar region
37529,specified diabetes mellitus severe nonproliferative diabetic retinopathy macular edema eye
37530,retrograde ejaculation
37531,nondisplaced oblique fracture shaft unspecified ulna fracture iiia iiib iiic malunion
37532,Fever ro sinusitis
37533,regimen financial hardship
37534,acute cholecystitis chronic cholecystitis
37535,fractures pelvis stable disruption pelvic fracture
37536,displaced fracture medial condyle femur sequela
37537,intracranial space-occupying lesion diagnostic imaging nervous
37538,unspecified transplanted organ tissue failure
37539,blepharoconjunctivitis eye
37540,prophylactic surgery unspecified
37541,nondisplaced oblique fracture shaft unspecified tibia sequela
37542,erectile dysfunction arterial insufficiency
37543,burn degree unspecified ankle sequela
37544,spontaneous rupture extensor tendons arm
37545,inflammatory disorders penis
37546,barton's fracture unspecified radius fracture iiia iiib iiic malunion
37547,fistula knee
37548,major laceration body pancreas
37549, subarachnoidsubdural hemorrhage please evaluate for
37550,fracture tibia fracture iiia iiib iiic nonunion
37551,infection nipple puerperium
37552,person boarding alighting pick-up truck van injured collision pick-up truck van sequela
37553,burn unspecified degree unspecified wrist
37554,salpingitis oophoritis unspecified
37555,congenital cutaneous mastocytosis
37556,intentional self-harm unspecified larger firearm discharge
37557,syphilis latent
37558,leakage balloon counterpulsation device
37559,encephalitis
37560,unspecified fracture shaft ulna fracture iiia iiib iiic nonunion
37561,leakage cystostomy catheter sequela
37562,adverse effect dental sequela
37563,specified arthritis unspecified knee
37564,Schistosomiasis Schistosoma japonicum
37565,fracture unspecified lumbar vertebra sequela
37566,nondisplaced dome fracture unspecified acetabulum fracture healing
37567,symptoms signs musculoskeletal
37568,abuse cocaine-induced psychotic disorder hallucinations
37569,embolism termination pregnancy
37570,unspecified injury peroneal artery unspecified leg sequela
37571,unspecified injury flexor fascia tendon unspecified thumb forearm sequela
37572,pilonidal cyst abscess
37573,normal pregnancy unspecified trimester
37574,sprain metatarsophalangeal joint toe
37575,nephrotic syndrome unspecified morphologic
37576,mucocutaneous congenital syphilis
37577,Embolic staphorius endocarditis
37578,unspecified accident commercial fixed-wing aircraft injuring occupant
37579,failure dosage surgical
37580,postinfective membranous urethral stricture
37581, bilateral chest tubes
37582,person outside transport injured collision pick-up truck van nontraffic accident sequela
37583,displaced fracture neck unspecified radius fracture iiia iiib iiic healing
37584,cerebral infarction thrombosis vertebral artery
37585,personal pneumonia
37586,acquired deformity nose
37587,keratoconjunctivitis bilateral
37588,infection genital tract delivery
37589,dislocation unspecified wrist
37590,stiffness hip
37591,fall playground swing
37592,persistent postprocedural fistula sequela
37593,lead-induced chronic gout unspecified hip tophus tophi
37594,psychoactive dependence withdrawal delirium
37595,drowning submersion unspecified watercraft sinking sequela
37596,injury cortex sequela
37597,physeal fracture unspecified tibia fracture nonunion
37598,age-related osteoporosis pathological fracture unspecified femur fracture
37599,assault bodily force
37600,charcot's joint elbow
37601,intraoperative hemorrhage hematoma unspecified eye adnexa ophthalmic
37602,neoplasm uncertain behavior rectum
37603,dislocation jaw bilateral sequela
37604,primary blast injury lung unilateral sequela
37605,spinal enthesopathy thoracic region
37606,sclerosis
37607,livedoid vasculitis
37608,sedative hypnotic anxiolytic abuse intoxication unspecified
37609,unspecified ventral hernia obstruction gangrene
37610,incompatibility reaction transfusion blood blood unspecified sequela
37611,nondisplaced fracture proximal phalanx toe fracture healing
37612,bedroom apartment place occurrence
37613,displaced fracture proximal navicular scaphoid bone unspecified wrist sequela
37614,sled accident sequela
37615,legal intervention unspecified blunt objects suspect injured
37616, 1 unstable angina 
37617,contusion laceration hemorrhage cerebellum loss consciousness pre-existing conscious
37618,unspecified fracture unspecified calcaneus fracture
37619,transverse atypical femoral fracture leg fracture malunion
37620,posterior displaced fracture sternal unspecified clavicle fracture nonunion
37621,unspecified trochanteric fracture unspecified femur fracture malunion
37622,exposure sofa fire burning cigarette
37623,tenonitis bilateral orbits
37624,adrenocortical overactivity
37625,corrosion degree sites unspecified shoulder limb wrist hand sequela
37626,abscess bursa elbow
37627,non-pressure chronic ulcer leg specified severity
37628,adhesions ankylosis temporomandibular joint unspecified
37629,fracture unspecified lesser toes fracture nonunion
37630,induced diabetes mellitus neurological complications diabetic polyneuropathy
37631,congenital malformations pancreas pancreatic duct
37632,laceration fascia tendon abdomen
37633,erosive osteoarthritis
37634,specified injury posterior tibial artery unspecified leg sequela
37635,disorders continuity bone tibia
37636,legal intervention sharp objects law enforcement official injured
37637,calculus gallbladder bile duct chronic cholecystitis obstruction
37638,nondisplaced spiral fracture shaft ulna arm fracture nonunion
37639,unspecified motorcycle rider injured collision two- three-wheeled nontraffic accident sequela
37640,reaction shellfish ( crustaceans ) 
37641,specified rheumatoid arthritis unspecified wrist
37642,displaced transverse fracture shaft humerus unspecified arm sequela
37643,procedures abnormal reaction later complication mention misadventure
37644,personal specified corrected congenital malformations genitourinary
37645,osteitis deformans neoplastic diseases unspecified site
37646,cytomegaloviral disease unspecified
37647,war operations explosion accidental detonation discharge own munitions munitions launch device military personnel
37648,displaced spiral fracture shaft unspecified femur sequela
37649, right index finger
37650,military operation effects nuclear weapons civilian
37651,specified injury brachial artery sequela
37652,burn respiratory tract unspecified sequela
37653,corrosion unspecified degree forearm
37654,pneumoconiosis tuberculosis
37655,sequelae unspecified cerebrovascular disease
37656,driver transport injured collision unspecified vehicles traffic accident sequela
37657, pulmonary fibrosis poor IV
37658,salter-harris physeal fracture humerus unspecified arm fracture healing
37659,embolism thrombosis unspecified artery
37660,postpartum depression
37661,contusion heart unspecified hemopericardium
37662,Evaluate line position
37663,nondisplaced comminuted fracture shaft radius unspecified arm fracture iiia iiib iiic
37664,apnea unspecified
37665, breath statuspost MI
37666,person injured while boarding alighting railway train railway
37667,exostosis canal bilateral
37668,drug-induced headache intractable
37669,fall onfrom sidewalk curb sequela
37670,mammogram malignant neoplasm breast
37671,displaced dome fracture talus fracture healing
37672,nondisplaced articular fracture head unspecified femur fracture iiia iiib iiic
37673,unspecified intoxication uncomplicated
37674,nondisplaced oblique fracture shaft unspecified fibula fracture healing
37675,immunodeficiency hereditary defective response epstein-barr virus
37676,ankylosis unspecified foot
37677,breakdown heart valve graft sequela
37678,desert place occurrence
37679,unspecified fracture patella sequela
37680,military operations destruction aircraft enemy fire explosives military personnel
37681,polymyositis organ
37682,nondisplaced bicondylar fracture tibia fracture healing
37683,septic arterial embolism
37684,erythema elevatum diutinum
37685,specified intracranial injury loss consciousness unspecified sequela
37686,unspecified complication pregnancy trimester
37687,complication newborn fetal intrauterine
37688,t-cell lymphoma/leukemia relapse
37689,alcoholic liver disease unspecified
37690,foreign body granuloma soft tissue unspecified arm
37691,chronic active hepatitis
37692,mature t/nk-cell lymphomas unspecified lymph nodes axilla limb
37693,nondisplaced fracture pisiform wrist fracture nonunion
37694,traumatic cataract eye
37695,rat sequela
37696,monoarthritis unspecified wrist
37697,middle school place occurrence
37698,nondisplaced fracture shaft unspecified metacarpal bone sequela
37699,SP assault
37700,toxic liver disease unspecified
37701,unspecified injury face sequela
37702, diabetes mellitus end stage renal disease on
37703,unspecified displaced fracture surgical neck unspecified humerus fracture
37704,acute mastoiditis complications bilateral
37705,primary anal syphilis
37706, acute mental
37707,fracture unspecified clavicle fracture
37708,displaced comminuted fracture shaft fibula fracture iiia iiib iiic nonunion
37709,laceration foreign body unspecified ankle
37710,ptosis unspecified eyelid
37711,nondisplaced intraarticular fracture unspecified calcaneus fracture
37712,primary optic atrophy bilateral
37713,Bike accident intoxicated
37714,abrasion ankle sequela
37715,specified injury anterior tibial artery unspecified leg sequela
37716,unspecified motorcycle rider injured collision unspecified vehicles nontraffic accident sequela
37717,specified diabetes mellitus unspecified diabetic retinopathy macular edema
37718,infections bladder pregnancy unspecified trimester
37719,sprain metacarpophalangeal joint finger sequela
37720,nondisplaced segmental fracture shaft femur sequela
37721,burn degree unspecified thumb nail
37722,postprocedural hemorrhage genitourinary organ
37723,Assess tube placementpneumothorax
37724,secondary malignant neoplasm skin
37725,partial traumatic transphalangeal amputation middle finger
37726,activity grass drills
37727,foreign body mouth sequela
37728,fracture tooth traumatic fracture nonunion
37729,contusion urinary pelvic organ sequela
37730,sprain unspecified wrist hand sequela
37731,arthritis bacteria hand
37732,obstruction foreign body accidentally body
37733,lesions mucosa
37734,insect bite nonvenomous lip
37735,military operations firearms discharge civilian sequela
37736,Subarachnoid hemorrhage evaluate for AVM
37737,physeal fracture phalanx unspecified toe fracture
37738,angiosarcoma liver
37739,unspecified ovarian pregnancy intrauterine pregnancy
37740,drowning submersion jumping burning fishing boat sequela
37741,war operations explosion sea-based artillery shell military personnel sequela
37742,unspecified fracture head femur fracture nonunion
37743,nondisplaced pilon fracture tibia fracture
37744,presence unspecified artificial hip joint
37745,injury peroneal nerve leg unspecified leg
37746,specified injury carotid artery
37747,primarily respiratory assault sequela
37748,burn degree sites unspecified shoulder limb wrist hand sequela
37749,nondisplaced fracture middle phalanx unspecified lesser toes fracture
37750,vitreous hemorrhage bilateral
37751,ascariasis intestinal complications
37752,unspecified injury unspecified renal artery sequela
37753,kitchen specified residential institution place occurrence
37754,bipolar disorder episode manic psychotic features severe
37755,rheumatoid myopathy rheumatoid arthritis hip
37756,insect bite nonvenomous nose
37757,non-follicular diffuse lymphoma unspecified lymph nodes inguinal region limb
37758,driver injured collision fixed stationary object traffic accident
37759, recent history coronary artery bypass graft
37760,pedal cyclist driver passenger injured unspecified traffic accident
37761,follicular lymphoma grade iiia lymph nodes inguinal region limb
37762,passenger injured collision pedestrian nontraffic accident sequela
37763,fractures ribs unspecified fracture nonunion
37764,sepsis induced termination pregnancy
37765,sprain unspecified parts thorax sequela
37766,secondary chronic gout knee tophus tophi
37767,familial chondrocalcinosis shoulder
37768,laceration extensor fascia tendon index finger forearm sequela
37769,strain muscles tendons leg leg sequela
37770,secondary malignant neoplasm brain
37771,anterior displaced fracture sternal unspecified clavicle fracture malunion
37772,nondisplaced segmental fracture shaft ulna arm fracture
37773,fracture head neck femur fracture iiia iiib iiic nonunion
37774,crushing injury unspecified toes
37775,injury tendon flexor toe ankle foot foot sequela
37776,assault hot household appliances sequela
37777,displaced fracture distal phalanx lesser toes fracture healing
37778,cortical age-related cataract bilateral
37779,pyeloureteritis cystica
37780,unspecified superficial injury index finger sequela
37781,hypertrophic osteoarthropathy unspecified arm
37782,nondisplaced spiral fracture shaft femur fracture iiia iiib iiic healing
37783,rheumatoid arthritis rheumatoid factor unspecified wrist
37784,familial chondrocalcinosis unspecified shoulder
37785,specified injury radial artery wrist hand unspecified arm sequela
37786,fracture shaft unspecified fibula fracture nonunion
37787,specified disorders cartilage thigh
37788,burn degree leg sequela
37789,meibomian gland dysfunction eye unspecified eyelid
37790,person outside pick-up truck van injured collision nonmotor traffic accident
37791,fracture ulna fracture
37792,Mental status changes status post assault
37793,burn unspecified degree unspecified elbow sequela
37794,varicella myelitis
37795,immersion foot unspecified foot sequela
37796,activity unspecified
37797,fracture tibia fracture healing
37798,unspecified subluxation unspecified hip sequela
37799,breakdown heart valve prosthesis
37800,exposure unspecified man-made visible ultraviolet sequela
37801,blister nonthermal unspecified finger
37802,infectious mononucleosis unspecified meningitis
37803,rheumatoid arthritis rheumatoid factor unspecified hand organ systems
37804,unspecified muscles intentional self-harm sequela
37805,pathological fracture neoplastic disease femur sequela
37806,displaced fracture shaft clavicle fracture malunion
37807,malignant neoplasm sphenoid sinus
37808,nondisplaced segmental fracture shaft unspecified femur fracture iiia iiib iiic malunion
37809,orchard place occurrence
37810,atherosclerosis autologous vein bypass grafts extremities intermittent claudication bilateral legs
37811,injury internal carotid artery intracranial portion loss consciousness pre-existing conscious sequela
37812,injury unspecified nerve shoulder arm unspecified arm sequela
37813,internal derangements unspecified knee
37814,specified diseases ear
37815,unspecified superficial injury unspecified head
37816,retained magnetic foreign body iris ciliary body eye
37817,Coronary artery disease
37818,inhalant unspecified intoxication unspecified
37819,myocardial infarction
